country_code,country,year,population_total,population_growth_pct,age_dependency_ratio,pop_65_plus_pct,pop_working_age_pct,urban_pop_pct,gdp_per_capita_usd,gdp_growth_pct,primary_energy_consumption,energy_per_capita,electricity_demand,electricity_demand_per_capita,fossil_share_energy,low_carbon_share_energy,renewables_share_energy,energy_per_gdp,demographic_phase
BRA,Brazil,1960,72388126,,87.6665360044425,2.52800644039323,53.2860047151517,44.6809618118226,235.266009502589,,,,,,,,,,unknown
BRA,Brazil,1961,74605447,3.01712402135294,88.301521617607,2.557614844412,53.1063150582938,45.5029204567696,231.564063269854,8.60000000000014,,,,,,,,,growing_young
BRA,Brazil,1962,76865323,2.98413178984127,88.7857974338502,2.59346205704839,52.9700866997587,46.3016845520166,250.200572910273,6.59999999999992,,,,,,,,,growing_young
BRA,Brazil,1963,79164235,2.94697800169989,89.0231310054344,2.63222655175173,52.9035785724676,47.0872447116639,294.169619376733,0.600000000000065,,,,,,,,,growing_young
BRA,Brazil,1964,81488595,2.89384532588109,88.9060094914562,2.6718806642321,52.936378108718,47.8711440527209,257.259726897671,3.39999999999985,,,,,,,,,growing_young
BRA,Brazil,1965,83817583,2.81797346768923,88.5035325078341,2.71392938349182,53.0494040435967,48.664925692197,268.028760553723,2.40000000000001,273.87,3267.45,,,73.681,26.319,26.319,0.911,growing_young
BRA,Brazil,1966,86139359,2.73236317426946,87.9228724235706,2.75937044504458,53.2133200179335,49.4801327471016,328.343791519407,6.7000000000001,298.78,3468.569,,,73.614,26.386,26.386,0.932,growing_young
BRA,Brazil,1967,88446124,2.64271600538347,87.1287521276382,2.80638133337749,53.4391425306503,50.3283083344443,351.472600370379,4.2,309.579,3500.202,,,73.359,26.641,26.641,0.926,growing_young
BRA,Brazil,1968,90741240,2.56183412825181,86.1457321463522,2.85492957777522,53.7213493004945,51.2209955712343,373.925432639683,9.79999999999998,353.486,3895.541,,,75.615,24.385,24.385,0.964,growing_young
BRA,Brazil,1969,93045777,2.50796582962001,85.0319389962279,2.90545052305518,54.0447238892138,52.1697375744812,399.49841913391,9.49999999999993,385.812,4146.478,,,76.099,23.901,23.901,0.961,growing_young
BRA,Brazil,1970,95375651,2.47317174130758,83.8511390972451,2.95745189723528,54.3918305731932,53.1833074822629,443.799484982738,10.4,466.117,4887.17,,,74.775,25.225,25.225,1.051,growing_young
